곡 id,곡명,앨범명,앨범id,장르,좋아요수,발매일,가수
31417922,아름답고도 아프구나,HOUR MOMENT,10215293,Ballad,122191,20181112,비투비
31304766,이별하러 가는 길,이별하러 가는 길,10203965,Ballad,72491,20180913,임한별
31453551,흔한 이별,흔한 이별,10226943,Ballad,38750,20181128,허각
31085237,FAKE LOVE,LOVE YOURSELF 轉 `Tear`,10168559,Rap / Hip-hop,269863,20180518,방탄소년단
31542508,%%(응응),PERCENT,10239951,Dance,27092,20190107,Apink (에이핑크)
31314144,가을 타나 봐,가을 타나 봐,10205439,Ballad,113352,20180918,바이브
30244931,봄날,YOU NEVER WALK ALONE,10037969,Rap / Hip-hop,379173,20170213,방탄소년단
31492321,트라우마 (Trauma),LOVE SHOT - The 5th Album Repackage,10232781,Dance,67327,20181213,EXO
31433084,봄바람,1¹¹=1 (POWER OF DESTINY),10223837,Dance,126081,20181119,Wanna One (워너원)
31266289,I`m Fine,LOVE YOURSELF 結 `Answer`,10197480,Rap / Hip-hop,158822,20180824,방탄소년단
31492322,Wait,LOVE SHOT - The 5th Album Repackage,10232781,Ballad,68187,20181213,EXO
31346009,삐삐,삐삐,10210535,R&B / Soul,205127,20181010,아이유
31356458,고백,고백,10212203,Ballad,99195,20181015,양다일
31151836,Way Back Home,Take,10179508,Electronica,250675,20180627,숀 (SHAUN)
31399726,Gravity,DON`T MESS UP MY TEMPO - The 5th Album,10218750,Dance,96048,20181102,EXO
31266282,Euphoria,LOVE YOURSELF 結 `Answer`,10197480,Rap / Hip-hop,152475,20180824,방탄소년단
31573334,사랑 이딴 거,사랑 이딴 거,10244754,Ballad,6210,20190122,임한별
31486544,We all lie,SKY 캐슬 OST Part.4,10231822,"Drama,Rock",47485,20181212,하진
31399725,닿은 순간 (Ooh La La La),DON`T MESS UP MY TEMPO - The 5th Album,10218750,Dance,93401,20181102,EXO
31575470,눈송이,눈송이,10245013,Rap / Hip-hop,4380,20190123,"오반, 빈첸 (VINXEN)"
31495659,첫눈에,첫눈에,10233243,R&B / Soul,51483,20181214,헤이즈 (Heize)
31402611,"thank u, next","thank u, next",10219179,Pop,84799,20181104,Ariana Grande
